Text;Size;Color;Angle;Font;Repeat;URL
Hieroglyphys;1;Random;Random;Random;No;
Decipherment;1;Random;Random;Random;No;
Results;1;Random;Random;Random;No;
Metaphor;1;Random;Random;Random;No;
Romantyposkript;1;Random;Random;Random;No;
Hermann;1;Random;Random;Random;No;
Burger;1;Random;Random;Random;No;
Report;1;Random;Random;Random;No;
Examples;1;Random;Random;Random;No;
Competitions;1;Random;Random;Random;No;
Max;1;Random;Random;Random;No;
Weber;1;Random;Random;Random;No;
Stiftung;1;Random;Random;Random;No;
Kunstgeschichte;1;Random;Random;Random;No;
Canada;1;Random;Random;Random;No;
Framework;1;Random;Random;Random;No;
Immersion;1;Random;Random;Random;No;
Location;1;Random;Random;Random;No;
Geographic;1;Random;Random;Random;No;
Intro;1;Random;Random;Random;No;
Faq;1;Random;Random;Random;No;
Reflected;1;Random;Random;Random;No;
Apps;1;Random;Random;Random;No;
Mathematical;1;Random;Random;Random;No;
South;1;Random;Random;Random;No;
Auditory;1;Random;Random;Random;No;
Informational;1;Random;Random;Random;No;
Contextual;1;Random;Random;Random;No;
Background;1;Random;Random;Random;No;
Blogs;1;Random;Random;Random;No;
Twitter;1;Random;Random;Random;No;
Matters;1;Random;Random;Random;No;
Biographies;1;Random;Random;Random;No;
Applicability;1;Random;Random;Random;No;
Sports;1;Random;Random;Random;No;
Cases;1;Random;Random;Random;No;
Competencies;1;Random;Random;Random;No;
Ecosystems;1;Random;Random;Random;No;
Researchers;1;Random;Random;Random;No;
Intervention;1;Random;Random;Random;No;
Odra;1;Random;Random;Random;No;
Galleries;1;Random;Random;Random;No;
Openrefine;1;Random;Random;Random;No;
Reconciliation;1;Random;Random;Random;No;
Geisteswissenschaften;1;Random;Random;Random;No;
Implementation;1;Random;Random;Random;No;
Transatlantic;1;Random;Random;Random;No;
Accounts;1;Random;Random;Random;No;
Economic;1;Random;Random;Random;No;
Clothing;1;Random;Random;Random;No;
Contextualization;1;Random;Random;Random;No;
Fashion;1;Random;Random;Random;No;
Code-switching;1;Random;Random;Random;No;
Turkish;1;Random;Random;Random;No;
Heidelberg;1;Random;Random;Random;No;
Interconnectedness;1;Random;Random;Random;No;
Vocational;1;Random;Random;Random;No;
Job;1;Random;Random;Random;No;
Repetition;1;Random;Random;Random;No;
Transfer;1;Random;Random;Random;No;
Institute;1;Random;Random;Random;No;
Discipline;1;Random;Random;Random;No;
Focus;1;Random;Random;Random;No;
Coreference;1;Random;Random;Random;No;
Openatlas;1;Random;Random;Random;No;
Balkan;1;Random;Random;Random;No;
Stance;1;Random;Random;Random;No;
Dance;1;Random;Random;Random;No;
4d;1;Random;Random;Random;No;
Pietro;1;Random;Random;Random;No;
D'abano;1;Random;Random;Random;No;
Address;1;Random;Random;Random;No;
Epos;1;Random;Random;Random;No;
Places;1;Random;Random;Random;No;
Shahnameh;1;Random;Random;Random;No;
Alsatian;1;Random;Random;Random;No;
Macroanalysis;1;Random;Random;Random;No;
Scene;1;Random;Random;Random;No;
Artist;1;Random;Random;Random;No;
Association;1;Random;Random;Random;No;
Artists;1;Random;Random;Random;No;
Young;1;Random;Random;Random;No;
Rhineland;1;Random;Random;Random;No;
Visuals;1;Random;Random;Random;No;
Fieldwork;1;Random;Random;Random;No;
Surveying;1;Random;Random;Random;No;
Sensor;1;Random;Random;Random;No;
Measurement;1;Random;Random;Random;No;
Archeology;1;Random;Random;Random;No;
Socio-economic;1;Random;Random;Random;No;
Ptolemaic;1;Random;Random;Random;No;
Written;1;Random;Random;Random;No;
Bergisches;1;Random;Random;Random;No;
Monumental;1;Random;Random;Random;No;
Multidimensional;1;Random;Random;Random;No;
Compaction;1;Random;Random;Random;No;
Padova;1;Random;Random;Random;No;
Syria;1;Random;Random;Random;No;
Iraq;1;Random;Random;Random;No;
Script;1;Random;Random;Random;No;
Installation;1;Random;Random;Random;No;
Senses;1;Random;Random;Random;No;
Enhancement;1;Random;Random;Random;No;
Attribution;1;Random;Random;Random;No;
Co-creation;1;Random;Random;Random;No;
Reasoning;1;Random;Random;Random;No;
16th;1;Random;Random;Random;No;
British;1;Random;Random;Random;No;
Writers;1;Random;Random;Random;No;
Non-european;1;Random;Random;Random;No;
Histstadt4d;1;Random;Random;Random;No;
France;1;Random;Random;Random;No;
Theo;1;Random;Random;Random;No;
Lutz;1;Random;Random;Random;No;
Tropical;1;Random;Random;Random;No;
Forests;1;Random;Random;Random;No;
Worlds;1;Random;Random;Random;No;
Ibsen;1;Random;Random;Random;No;
Lithic;1;Random;Random;Random;No;
Purpose;1;Random;Random;Random;No;
Keynote;1;Random;Random;Random;No;
Eadh;1;Random;Random;Random;No;
Direction;1;Random;Random;Random;No;
Goal;1;Random;Random;Random;No;
Lived;1;Random;Random;Random;No;
Contexts;1;Random;Random;Random;No;
Rti;1;Random;Random;Random;No;
Diy;1;Random;Random;Random;No;
Equipment;1;Random;Random;Random;No;
Competition;1;Random;Random;Random;No;
District;1;Random;Random;Random;No;
Transition;1;Random;Random;Random;No;
Photogrammetry;1;Random;Random;Random;No;
Problem-solving;1;Random;Random;Random;No;
Sites;1;Random;Random;Random;No;
Earth;1;Random;Random;Random;No;
Observation;1;Random;Random;Random;No;
Commercial;1;Random;Random;Random;No;
Institutions;1;Random;Random;Random;No;
Paradigm;1;Random;Random;Random;No;
Shift;1;Random;Random;Random;No;
Beyond;1;Random;Random;Random;No;
Absence;1;Random;Random;Random;No;
Justinian;1;Random;Random;Random;No;
Hagia;1;Random;Random;Random;No;
Sophia;1;Random;Random;Random;No;
Culturual;1;Random;Random;Random;No;
Nfdi4culture;1;Random;Random;Random;No;
Immaterial;1;Random;Random;Random;No;
Timeline;1;Random;Random;Random;No;
Niger;1;Random;Random;Random;No;
River;1;Random;Random;Random;No;
Terminology;1;Random;Random;Random;No;
Cylinder;1;Random;Random;Random;No;
Mesopotamia;1;Random;Random;Random;No;
Sortes;1;Random;Random;Random;No;
Sanctorum;1;Random;Random;Random;No;
Engine;1;Random;Random;Random;No;
Medicine;1;Random;Random;Random;No;
Disease;1;Random;Random;Random;No;
Remedies;1;Random;Random;Random;No;
Multiple;1;Random;Random;Random;No;
Viewpoints;1;Random;Random;Random;No;
Evolving;1;Random;Random;Random;No;
Disagreement;1;Random;Random;Random;No;
Funerary;1;Random;Random;Random;No;
Monuments;1;Random;Random;Random;No;
Toponyms;1;Random;Random;Random;No;
Bulgaria;1;Random;Random;Random;No;
Cariban;1;Random;Random;Random;No;
Koriabo;1;Random;Random;Random;No;
Crmarchaeo;1;Random;Random;Random;No;
Lidar;1;Random;Random;Random;No;
Amazon;1;Random;Random;Random;No;
Bolivia;1;Random;Random;Random;No;
Discovery;1;Random;Random;Random;No;
Archaeoinformatics;1;Random;Random;Random;No;
Traditional;1;Random;Random;Random;No;
Entangled;1;Random;Random;Random;No;
Africa;1;Random;Random;Random;No;
Sp2143;1;Random;Random;Random;No;
Fortification;1;Random;Random;Random;No;
Nationalism;1;Random;Random;Random;No;
Churches;1;Random;Random;Random;No;
Tomb;1;Random;Random;Random;No;
Pure3d;1;Random;Random;Random;No;
Wonder;1;Random;Random;Random;No;
Advanced;1;Random;Random;Random;No;
Credibility;1;Random;Random;Random;No;
Verification;1;Random;Random;Random;No;
Lead;1;Random;Random;Random;No;
Layers;1;Random;Random;Random;No;
Coin;1;Random;Random;Random;No;
Numismatics;1;Random;Random;Random;No;
Multi-light;1;Random;Random;Random;No;
Reflectance;1;Random;Random;Random;No;
Movement;1;Random;Random;Random;No;
Kinetic;1;Random;Random;Random;No;
Questions;1;Random;Random;Random;No;
Combination;1;Random;Random;Random;No;
Lab;1;Random;Random;Random;No;
Lifecycle;1;Random;Random;Random;No;
Initiatives;1;Random;Random;Random;No;
1900s;1;Random;Random;Random;No;
Zenon;1;Random;Random;Random;No;
Papyrology;1;Random;Random;Random;No;
Herman;1;Random;Random;Random;No;
Melville;1;Random;Random;Random;No;
Hackathon;1;Random;Random;Random;No;
Fernando;1;Random;Random;Random;No;
Pessoa;1;Random;Random;Random;No;
Portuguese;1;Random;Random;Random;No;
Spatiality;1;Random;Random;Random;No;
Folklore;1;Random;Random;Random;No;
Witch;1;Random;Random;Random;No;
Tales;1;Random;Random;Random;No;
Higher;1;Random;Random;Random;No;
Transkribus;1;Random;Random;Random;No;
Tesseract;1;Random;Random;Random;No;
Biblical;1;Random;Random;Random;No;
Theology;1;Random;Random;Random;No;
Long-term;1;Random;Random;Random;No;
Martyrdom;1;Random;Random;Random;No;
Technical;1;Random;Random;Random;No;
Aspects;1;Random;Random;Random;No;
Teacher;1;Random;Random;Random;No;
Basic;1;Random;Random;Random;No;
Mythology;1;Random;Random;Random;No;
Diary;1;Random;Random;Random;No;
Populations;1;Random;Random;Random;No;
Xml-tei;1;Random;Random;Random;No;
Georeferenced;1;Random;Random;Random;No;
Buildings;1;Random;Random;Random;No;
Environments;1;Random;Random;Random;No;
Pommern;1;Random;Random;Random;No;
Swedish;1;Random;Random;Random;No;
Competency;1;Random;Random;Random;No;
Fundamentals;1;Random;Random;Random;No;
Potentials;1;Random;Random;Random;No;
Full;1;Random;Random;Random;No;
Smartness;1;Random;Random;Random;No;
Ngrams;1;Random;Random;Random;No;
Data-driven;1;Random;Random;Random;No;
Part-of-speech;1;Random;Random;Random;No;
Saxony;1;Random;Random;Random;No;
Applied;1;Random;Random;Random;No;
Outputs;1;Random;Random;Random;No;
School;1;Random;Random;Random;No;
Modernization;1;Random;Random;Random;No;
Wikisource;1;Random;Random;Random;No;
